Index,Name,Abstract Title,Author List,Abstract Keywords
60,Robin Li,Data-Efficient Self-Supervised DNA Language Modeling for Nematode Genomes,"Li, R",Large language model; DNA language model; unsupervised discovery
61,Ruby Liao,"Plasma cell-free DNA mapping of TP53, PTEN, and RB1 allelic disruption and association with adverse outcomes in metastatic prostate cancer","Liao, YJR; Tolmeijer, SH; Wang, CK; Xie, TTY; Roberts, HN; Herberts, C; Ng, SWS; Parekh, K; Kwan, EM; Sandhu, S; Mehra, N; Bergman, AM; Hofman, M; Seymour, L; Annala, M; Chi, KN; Maurice-Dror, C; Wyatt, AW","prostate cancer, genomics, liquid biopsy"
62,Ryan McLaughlin,Recovery of a novel lineage of sulfur oxidizing denitrifiers in the Saanich Inlet water column using single-cell scaffold-anchored binning,"McLaughlin, RJ; Kieft, B; Morgan-Lang, C; Anstett, J; Hallam, SJ;","oxygen minimum zone, denitrification, sulfur oxidation, metagenome-assembled genome, single-cell amplified genome"
63,Samuel Leung,Building a Computational Pipeline for Cardiovascular Drug Repurposing,"Leung, S; Wang, Y; Singh, A;","Cardiovascular Disease, Drug Repurposing, Pipeline Development, Systematic Benchmarking"
64,Sean Formby,Pan-genomic Analysis Reveals Genomic Plasticity and Adaptation Mechanisms in Puccinia triticina,"Formby, S;  Kim, SH  ; Holmes, J ; Lining, R ; Holden, S ;  Brar , GS ; Hallam, SJ ; Fellers, J ;  Bakkeren , G","pangenomics, genome assembly, GWAS, population genomics, agriculture"
65,Sofie Hooft Toomey,Computational Analysis and Prediction of Tissue Specific Phosphorylation of Intrinsically Disordered Protein Regions,"Hooft Toomey, Sofie; Gsponer, Joerg","Phosphorylation, Intrinsically Disordered Regions, Proteins, Protein-protein Interactions"
66,Syd Wong,Validation of Raman Process Analytics in T-cell Manufacturing Through Biochemical Quantitation of its Macromolecular Components,"Wong, S.E.Z.; Sherwood, C.S.; Piret, J.M.","Biochemical assay, Raman spectroscopy, process analytics, macromolecular quantification"
67,Taghrid Aloraini,Comprehensive Population Genetic Clustering of Diverse Human Genomes for Ancestry-Informed Reference Panel Development,"Aloraini, T; Rajan-Babu, IS; Warren, RL; Coombe, L; Friedman, JM; Birol, I","Ancestry, population, reference panel"
68,Taysia Nikaido-Landry,Associations Between Anthracosis and Molecular Dysregulation of Human Lung Tissue,"Nikaido-Landry, T; Fung, L; Lo, T; Lim, E","Lung, anthracosis, exposures, spatial transcriptomics"
69,Tina Hsu,Spatially resolved immune microenvironment of recurrent triple-negative breast cancer,"Hsu, T; Lee, E; Richter, A, Kong E; Llanos, V; Flores, C; Park, Y; Aparicio, S","Spatial biology, Triple-negative breast cancer, Tumour heterogeneity"
70,Tony Liang,Multimodal Integration of Spatial Transcriptomics and Foundation Model–Derived Imaging Features for Acute Cardiac Allograft Rejection,"Liang, C. T. ; Singh, A","Heart transplantation, AI, Multimodal integration, Spatial Transcriptomics, Computational pathology"
71,Tony Liu,"Enter the Cyanoverse, a database of cyanobacteria and their co-occurring microorganisms at different levels of biological organization","Liu, XT; Hyland, S; Collins, J; Hallam, SJ","Ecology, Cyanobacteria, Metagenomics, Database, Nextflow"
72,Tonya Severson,"Transcriptomic response to stressful temperatures in a resynthesized polyploid, Brassica napus, and its progenitors, B. oleracea and B. rapa","Tonya F. Severson, Jeannette Whitton, Jörg Bohlmann, and Keith L. Adams","polyploidy, abiotic stress, alternative splicing, expression analysis"
73,Yifan Yin,The Dynamic Changes in The Classical Hodgkin Lymphoma Tumor Microenvironment Using Single Cell Analysis,"Yin,Y;Aoki T; Steidl C","Cancer, single-cell, tumor microenvironment"
74,Yiyang Wang,Unsupervised Discovery of Spatial Niches via Contrastive Graph Representation Learning in Multi-Sample Spatial Transcriptomics,"wang, yiyang","AI, spatial transcriptomics, GNN"
